"GEO_ID","NAME","B25001_001E","B25001_001M","B25001_001MA","B25001_001EA",
"0500000US04005","Coconino County, Arizona","66807","473","null","null",
"0500000US04007","Gila County, Arizona","33714","125","null","null",
"0500000US04009","Graham County, Arizona","13678","135","null","null",
"0500000US04011","Greenlee County, Arizona","4465","26","null","null",
"0500000US04012","La Paz County, Arizona","16308","55","null","null",
"0500000US04013","Maricopa County, Arizona","1765880","1068","null","null",
"0500000US04015","Mohave County, Arizona","115466","362","null","null",
"0500000US04017","Navajo County, Arizona","58230","104","null","null",
"0500000US04019","Pima County, Arizona","463236","469","null","null",
"0500000US04021","Pinal County, Arizona","177933","482","null","null",
"0500000US04023","Santa Cruz County, Arizona","18412","57","null","null",
"0500000US04025","Yavapai County, Arizona","118531","286","null","null",
"0500000US04027","Yuma County, Arizona","93612","257","null","null",
"0500000US05001","Arkansas County, Arkansas","9495","45","null","null",
"0500000US05003","Ashley County, Arkansas","10186","35","null","null",
"0500000US05005","Baxter County, Arkansas","22953","48","null","null",
"0500000US05007","Benton County, Arkansas","108836","150","null","null",
"0500000US05009","Boone County, Arkansas","17025","92","null","null",
"0500000US05011","Bradley County, Arkansas","5818","38","null","null",
"0500000US05013","Calhoun County, Arkansas","2943","38","null","null",
"0500000US05015","Carroll County, Arkansas","13764","85","null","null",
"0500000US05017","Chicot County, Arkansas","5429","63","null","null",
"0500000US05019","Clark County, Arkansas","10559","175","null","null",
"0500000US05021","Clay County, Arkansas","8024","32","null","null",
"0500000US05023","Cleburne County, Arkansas","16143","65","null","null",
"0500000US05025","Cleveland County, Arkansas","4123","37","null","null",
"0500000US05027","Columbia County, Arkansas","11698","128","null","null",
"0500000US05029","Conway County, Arkansas","9862","48","null","null",
"0500000US05031","Craighead County, Arkansas","46156","158","null","null",
"0500000US05033","Crawford County, Arkansas","26953","81","null","null",
"0500000US05035","Crittenden County, Arkansas","21790","78","null","null",
"0500000US05037","Cross County, Arkansas","7985","72","null","null",
"0500000US05039","Dallas County, Arkansas","4346","87","null","null",
"0500000US05041","Desha County, Arkansas","6292","50","null","null",
"0500000US05043","Drew County, Arkansas","8640","89","null","null",
"0500000US05045","Faulkner County, Arkansas","50209","176","null","null",
"0500000US05047","Franklin County, Arkansas","8018","71","null","null",
"0500000US05049","Fulton County, Arkansas","6847","46","null","null",
"0500000US05051","Garland County, Arkansas","50974","127","null","null",
"0500000US05053","Grant County, Arkansas","8049","31","null","null",
"0500000US05055","Greene County, Arkansas","19185","73","null","null",
"0500000US05057","Hempstead County, Arkansas","10570","65","null","null",
"0500000US05059","Hot Spring County, Arkansas","14490","80","null","null",
"0500000US05061","Howard County, Arkansas","6255","60","null","null",
"0500000US05063","Independence County, Arkansas","16600","65","null","null",
"0500000US05065","Izard County, Arkansas","7312","146","null","null",
"0500000US05067","Jackson County, Arkansas","7606","121","null","null",
"0500000US05069","Jefferson County, Arkansas","33372","309","null","null",
"0500000US05071","Johnson County, Arkansas","11536","86","null","null",
"0500000US05073","Lafayette County, Arkansas","4394","24","null","null",
"0500000US05075","Lawrence County, Arkansas","8030","54","null","null",
"0500000US05077","Lee County, Arkansas","4362","77","null","null",
"0500000US05079","Lincoln County, Arkansas","4693","520","null","null",
"0500000US05081","Little River County, Arkansas","6534","38","null","null",
"0500000US05083","Logan County, Arkansas","10173","107","null","null",
"0500000US05085","Lonoke County, Arkansas","29737","84","null","null",
"0500000US05087","Madison County, Arkansas","7595","31","null","null",
"0500000US05089","Marion County, Arkansas","9546","65","null","null",
"0500000US05091","Miller County, Arkansas","19576","80","null","null",
"0500000US05093","Mississippi County, Arkansas","20572","91","null","null",
"0500000US05095","Monroe County, Arkansas","4445","47","null","null",
"0500000US05097","Montgomery County, Arkansas","5875","52","null","null",
"0500000US05099","Nevada County, Arkansas","4595","40","null","null",
"0500000US05101","Newton County, Arkansas","4706","49","null","null",
"0500000US05103","Ouachita County, Arkansas","13110","68","null","null",
"0500000US05105","Perry County, Arkansas","4993","45","null","null",
"0500000US05107","Phillips County, Arkansas","10243","68","null","null",
"0500000US05109","Pike County, Arkansas","5629","51","null","null",
"0500000US05111","Poinsett County, Arkansas","10994","66","null","null",
"0500000US05113","Polk County, Arkansas","10130","58","null","null",
"0500000US05115","Pope County, Arkansas","26373","181","null","null",
"0500000US05117","Prairie County, Arkansas","4550","39","null","null",
"0500000US05119","Pulaski County, Arkansas","185460","246","null","null",
"0500000US05121","Randolph County, Arkansas","8629","76","null","null",
"0500000US05123","St. Francis County, Arkansas","10969","121","null","null",
"0500000US05125","Saline County, Arkansas","49149","110","null","null",
"0500000US05127","Scott County, Arkansas","5283","46","null","null",
"0500000US05129","Searcy County, Arkansas","4951","40","null","null",
"0500000US05131","Sebastian County, Arkansas","57127","163","null","null",
"0500000US05133","Sevier County, Arkansas","6986","36","null","null",
"0500000US05135","Sharp County, Arkansas","9894","61","null","null",
"0500000US05137","Stone County, Arkansas","6927","45","null","null",
"0500000US05139","Union County, Arkansas","20065","87","null","null",
"0500000US05141","Van Buren County, Arkansas","10519","57","null","null",
"0500000US05143","Washington County, Arkansas","95238","224","null","null",
"0500000US05145","White County, Arkansas","33924","159","null","null",
"0500000US05147","Woodruff County, Arkansas","3878","55","null","null",
"0500000US05149","Yell County, Arkansas","9881","45","null","null",
"0500000US06001","Alameda County, California","605767","422","null","null",
"0500000US06003","Alpine County, California","1794","120","null","null",
"0500000US06005","Amador County, California","18246","170","null","null",
"0500000US06007","Butte County, California","93968","223","null","null",
"0500000US06009","Calaveras County, California","28096","63","null","null",
"0500000US06011","Colusa County, California","8153","58","null","null",
"0500000US06013","Contra Costa County, California","415067","303","null","null",
"0500000US06015","Del Norte County, California","11349","117","null","null",
"0500000US06017","El Dorado County, California","91569","158","null","null",
"0500000US06019","Fresno County, California","333357","328","null","null",
"0500000US06021","Glenn County, California","11210","53","null","null",
"0500000US06023","Humboldt County, California","63003","217","null","null",
"0500000US06025","Imperial County, California","57855","158","null","null",
"0500000US06027","Inyo County, California","9514","91","null","null",
"0500000US06029","Kern County, California","299179","427","null","null",
"0500000US06031","Kings County, California","46267","289","null","null",
"0500000US06033","Lake County, California","34477","74","null","null",
"0500000US06035","Lassen County, California","12766","221","null","null",
"0500000US06037","Los Angeles County, California","3559790","989","null","null",
"0500000US06039","Madera County, California","50480","180","null","null",
"0500000US06041","Marin County, California","112319","260","null","null",
"0500000US06043","Mariposa County, California","10525","197","null","null",
"0500000US06045","Mendocino County, California","40874","174","null","null",
"0500000US06047","Merced County, California","86691","193","null","null",
"0500000US06049","Modoc County, California","5259","93","null","null",
"0500000US06051","Mono County, California","14092","63","null","null",
"0500000US06053","Monterey County, California","141910","492","null","null",
"0500000US06055","Napa County, California","55339","196","null","null",
"0500000US06057","Nevada County, California","53905","118","null","null",
"0500000US06059","Orange County, California","1101244","541","null","null",
"0500000US06061","Placer County, California","166083","271","null","null",
"0500000US06063","Plumas County, California","15873","54","null","null",
"0500000US06065","Riverside County, California","845066","1119","null","null",
"0500000US06067","Sacramento County, California","572916","455","null","null",
"0500000US06069","San Benito County, California","19215","47","null","null",
"0500000US06071","San Bernardino County, California","721376","706","null","null",
"0500000US06073","San Diego County, California","1215528","822","null","null",
"0500000US06075","San Francisco County, California","398613","722","null","null",
"0500000US06077","San Joaquin County, California","245192","290","null","null",
"0500000US06079","San Luis Obispo County, California","122256","343","null","null",
"0500000US06081","San Mateo County, California","278756","321","null","null",
"0500000US06083","Santa Barbara County, California","159317","449","null","null",
"0500000US06085","Santa Clara County, California","668896","529","null","null",
"0500000US06087","Santa Cruz County, California","105819","325","null","null",
"0500000US06089","Shasta County, California","78488","262","null","null",
"0500000US06091","Sierra County, California","2337","119","null","null",
"0500000US06093","Siskiyou County, California","24177","89","null","null",
"0500000US06095","Solano County, California","159055","278","null","null",
"0500000US06097","Sonoma County, California","206498","271","null","null",
"0500000US06099","Stanislaus County, California","182239","189","null","null",
"0500000US06101","Sutter County, California","34394","109","null","null",
"0500000US06103","Tehama County, California","27618","82","null","null",
"0500000US06105","Trinity County, California","8895","47","null","null",
"0500000US06107","Tulare County, California","150079","175","null","null",
"0500000US06109","Tuolumne County, California","31572","121","null","null",
"0500000US06111","Ventura County, California","289425","380","null","null",
"0500000US06113","Yolo County, California","78565","273","null","null",
"0500000US06115","Yuba County, California","28632","122","null","null",
"0500000US08001","Adams County, Colorado","173439","239","null","null",
"0500000US08003","Alamosa County, Colorado","6887","94","null","null",
"0500000US08005","Arapahoe County, Colorado","252835","343","null","null",
"0500000US08007","Archuleta County, Colorado","9477","31","null","null",
"0500000US08009","Baca County, Colorado","2251","27","null","null",
"0500000US08011","Bent County, Colorado","2262","126","null","null",
"0500000US08013","Boulder County, Colorado","135409","313","null","null",
"0500000US08014","Broomfield County, Colorado","28037","109","null","null",
"0500000US08015","Chaffee County, Colorado","10916","130","null","null",
"0500000US08017","Cheyenne County, Colorado","1012","115","null","null",
"0500000US08019","Clear Creek County, Colorado","5745","47","null","null",
"0500000US08021","Conejos County, Colorado","4343","32","null","null",
"0500000US08023","Costilla County, Colorado","2661","23","null","null",
"0500000US08025","Crowley County, Colorado","1602","187","null","null",
"0500000US08027","Custer County, Colorado","4285","327","null","null",
"0500000US08029","Delta County, Colorado","14860","120","null","null",
"0500000US08031","Denver County, Colorado","306269","469","null","null",
"0500000US08033","Dolores County, Colorado","1641","153","null","null",
"0500000US08035","Douglas County, Colorado","125886","179","null","null",
"0500000US08037","Eagle County, Colorado","32138","45","null","null",
"0500000US08039","Elbert County, Colorado","9160","39","null","null",
"0500000US08041","El Paso County, Colorado","276538","323","null","null",
"0500000US08043","Fremont County, Colorado","20035","473","null","null",
"0500000US08045","Garfield County, Colorado","23983","88","null","null",
"0500000US08047","Gilpin County, Colorado","3522","216","null","null",
"0500000US08049","Grand County, Colorado","16934","64","null","null",
"0500000US08051","Gunnison County, Colorado","11777","74","null","null",
"0500000US08053","Hinsdale County, Colorado","1443","87","null","null",
"0500000US08055","Huerfano County, Colorado","5296","56","null","null",
"0500000US08057","Jackson County, Colorado","1316","101","null","null",
"0500000US08059","Jefferson County, Colorado","237789","271","null","null",
"0500000US08061","Kiowa County, Colorado","772","97","null","null",
"0500000US08063","Kit Carson County, Colorado","3557","86","null","null",
"0500000US08065","Lake County, Colorado","4528","245","null","null",
"0500000US08067","La Plata County, Colorado","26840","99","null","null",
"0500000US08069","Larimer County, Colorado","144583","342","null","null",
"0500000US08071","Las Animas County, Colorado","8549","198","null","null",
"0500000US08073","Lincoln County, Colorado","1948","655","null","null",
"0500000US08075","Logan County, Colorado","9027","112","null","null",
"0500000US08077","Mesa County, Colorado","64244","185","null","null",
"0500000US08079","Mineral County, Colorado","1370","100","null","null",
"0500000US08081","Moffat County, Colorado","6197","37","null","null",
"0500000US08083","Montezuma County, Colorado","12220","52","null","null",
"0500000US08085","Montrose County, Colorado","19455","86","null","null",
"0500000US08087","Morgan County, Colorado","11809","62","null","null",
"0500000US08089","Otero County, Colorado","8930","70","null","null",
"0500000US08091","Ouray County, Colorado","3227","146","null","null",
"0500000US08093","Park County, Colorado","14066","47","null","null",
"0500000US08095","Phillips County, Colorado","2060","172","null","null",
"0500000US08097","Pitkin County, Colorado","13861","34","null","null",
"0500000US08099","Prowers County, Colorado","5937","56","null","null",
"0500000US08101","Pueblo County, Colorado","71284","246","null","null",
"0500000US08103","Rio Blanco County, Colorado","3345","57","null","null",
"0500000US08105","Rio Grande County, Colorado","6832","42","null","null",
"0500000US08107","Routt County, Colorado","16977","50","null","null",
"0500000US08109","Saguache County, Colorado","3961","30","null","null",
"0500000US08111","San Juan County, Colorado","751","75","null","null",
"0500000US08113","San Miguel County, Colorado","6756","23","null","null",
"0500000US08115","Sedgwick County, Colorado","1177","82","null","null",
"0500000US08117","Summit County, Colorado","31158","58","null","null",
"0500000US08119","Teller County, Colorado","13270","24","null","null",
"0500000US08121","Washington County, Colorado","2396","233","null","null",
"0500000US08123","Weld County, Colorado","106044","225","null","null",
"0500000US08125","Yuma County, Colorado","4493","35","null","null",
"0500000US09001","Fairfield County, Connecticut","374329","320","null","null",
"0500000US09003","Hartford County, Connecticut","380383","439","null","null",
"0500000US09005","Litchfield County, Connecticut","88362","238","null","null",
"0500000US09007","Middlesex County, Connecticut","76449","279","null","null",
"0500000US09009","New Haven County, Connecticut","367990","478","null","null",
"0500000US09011","New London County, Connecticut","123849","261","null","null",
"0500000US09013","Tolland County, Connecticut","59997","300","null","null",
"0500000US09015","Windham County, Connecticut","49840","220","null","null",
"0500000US10001","Kent County, Delaware","73073","180","null","null",
"0500000US10003","New Castle County, Delaware","224242","345","null","null",
"0500000US10005","Sussex County, Delaware","141123","164","null","null",
"0500000US11001","District of Columbia, District of Columbia","319192","135","null","null",
"0500000US12001","Alachua County, Florida","118861","470","null","null",
"0500000US12003","Baker County, Florida","10105","154","null","null",
"0500000US12005","Bay County, Florida","104060","189","null","null",
"0500000US12007","Bradford County, Florida","11061","284","null","null",
"0500000US12009","Brevard County, Florida","280648","280","null","null",
"0500000US12011","Broward County, Florida","826382","481","null","null",
"0500000US12013","Calhoun County, Florida","6010","103","null","null",
"0500000US12015","Charlotte County, Florida","105857","153","null","null",
"0500000US12017","Citrus County, Florida","80222","180","null","null",
"0500000US12019","Clay County, Florida","81729","128","null","null",
"0500000US12021","Collier County, Florida","218348","283","null","null",
"0500000US12023","Columbia County, Florida","29155","142","null","null",
"0500000US12027","DeSoto County, Florida","15307","197","null","null",
"0500000US12029","Dixie County, Florida","9499","87","null","null",
"0500000US12031","Duval County, Florida","413084","493","null","null",
"0500000US12033","Escambia County, Florida","142456","302","null","null",
"0500000US12035","Flagler County, Florida","52816","77","null","null",
"0500000US12037","Franklin County, Florida","8764","90","null","null",
"0500000US12039","Gadsden County, Florida","20727","182","null","null",
"0500000US12041","Gilchrist County, Florida","7607","75","null","null",
"0500000US12043","Glades County, Florida","7099","124","null","null",
"0500000US12045","Gulf County, Florida","9678","765","null","null",
"0500000US12047","Hamilton County, Florida","5841","148","null","null",
"0500000US12049","Hardee County, Florida","9786","82","null","null",
"0500000US12051","Hendry County, Florida","14932","151","null","null",
"0500000US12053","Hernando County, Florida","87761","134","null","null",
"0500000US12055","Highlands County, Florida","55919","145","null","null",
"0500000US12057","Hillsborough County, Florida","590714","405","null","null",
"0500000US12059","Holmes County, Florida","8723","120","null","null",
"0500000US12061","Indian River County, Florida","81185","118","null","null",
"0500000US12063","Jackson County, Florida","21111","191","null","null",
"0500000US12065","Jefferson County, Florida","6804","101","null","null",
"0500000US12067","Lafayette County, Florida","3344","220","null","null",
"0500000US12069","Lake County, Florida","160237","203","null","null",
"0500000US12071","Lee County, Florida","401252","516","null","null",
"0500000US12073","Leon County, Florida","131341","598","null","null",
"0500000US12075","Levy County, Florida","20760","60","null","null",
"0500000US12077","Liberty County, Florida","3494","236","null","null",
"0500000US12079","Madison County, Florida","8664","111","null","null",
"0500000US12081","Manatee County, Florida","194960","195","null","null",
"0500000US12083","Marion County, Florida","170926","336","null","null",
"0500000US12085","Martin County, Florida","80542","197","null","null",
"0500000US12086","Miami-Dade County, Florida","1032310","552","null","null",
"0500000US12087","Monroe County, Florida","53759","190","null","null",
"0500000US12089","Nassau County, Florida","40141","126","null","null",
"0500000US12091","Okaloosa County, Florida","97802","201","null","null",
"0500000US12093","Okeechobee County, Florida","18734","138","null","null",
"0500000US12095","Orange County, Florida","545974","683","null","null",
"0500000US12097","Osceola County, Florida","155925","124","null","null",
"0500000US12099","Palm Beach County, Florida","690075","507","null","null",
"0500000US12101","Pasco County, Florida","247024","415","null","null",
"0500000US12103","Pinellas County, Florida","510798","486","null","null",
"0500000US12105","Polk County, Florida","300596","375","null","null",
"0500000US12107","Putnam County, Florida","37497","143","null","null",
"0500000US12109","St. Johns County, Florida","111492","163","null","null",
"0500000US12111","St. Lucie County, Florida","143823","200","null","null",
"0500000US12113","Santa Rosa County, Florida","73023","318","null","null",
"0500000US12115","Sarasota County, Florida","244910","254","null","null",
"0500000US12117","Seminole County, Florida","192073","235","null","null",
"0500000US12119","Sumter County, Florida","72655","356","null","null",
"0500000US12121","Suwannee County, Florida","19467","94","null","null",
"0500000US12123","Taylor County, Florida","11134","135","null","null",
"0500000US12125","Union County, Florida","4623","289","null","null",
"0500000US12127","Volusia County, Florida","262438","467","null","null",
"0500000US12129","Wakulla County, Florida","13686","113","null","null",
"0500000US12131","Walton County, Florida","53637","126","null","null",
"0500000US12133","Washington County, Florida","10957","171","null","null",
"0500000US13001","Appling County, Georgia","8597","59","null","null",
"0500000US13003","Atkinson County, Georgia","3511","15","null","null",
"0500000US13005","Bacon County, Georgia","4819","65","null","null",
"0500000US13007","Baker County, Georgia","1841","215","null","null",
"0500000US13009","Baldwin County, Georgia","20638","243","null","null",
"0500000US13011","Banks County, Georgia","7796","28","null","null",
"0500000US13013","Barrow County, Georgia","29036","88","null","null",
"0500000US13015","Bartow County, Georgia","41684","139","null","null",
"0500000US13017","Ben Hill County, Georgia","8015","57","null","null",
"0500000US13019","Berrien County, Georgia","8811","48","null","null",
"0500000US13021","Bibb County, Georgia","70138","230","null","null",
"0500000US13023","Bleckley County, Georgia","5327","94","null","null",
"0500000US13025","Brantley County, Georgia","8180","35","null","null",
"0500000US13027","Brooks County, Georgia","7817","37","null","null",
"0500000US13029","Bryan County, Georgia","14778","42","null","null",
"0500000US13031","Bulloch County, Georgia","31496","362","null","null",
"0500000US13033","Burke County, Georgia","10108","36","null","null",
"0500000US13035","Butts County, Georgia","9457","214","null","null",
"0500000US13037","Calhoun County, Georgia","2398","78","null","null",
"0500000US13039","Camden County, Georgia","22303","99","null","null",
"0500000US13043","Candler County, Georgia","4784","34","null","null",
"0500000US13045","Carroll County, Georgia","45699","136","null","null",
"0500000US13047","Catoosa County, Georgia","27578","74","null","null",
"0500000US13049","Charlton County, Georgia","4536","111","null","null",
"0500000US13051","Chatham County, Georgia","126234","300","null","null",
"0500000US13053","Chattahoochee County, Georgia","3341","181","null","null",
"0500000US13055","Chattooga County, Georgia","10986","121","null","null",
"0500000US13057","Cherokee County, Georgia","94658","136","null","null",
"0500000US13059","Clarke County, Georgia","53452","375","null","null",
"0500000US13061","Clay County, Georgia","2160","156","null","null",
"0500000US13063","Clayton County, Georgia","105992","227","null","null",
"0500000US13065","Clinch County, Georgia","3008","211","null","null",
"0500000US13067","Cobb County, Georgia","302537","412","null","null",
"0500000US13069","Coffee County, Georgia","17351","162","null","null",
"0500000US13071","Colquitt County, Georgia","18700","113","null","null",
"0500000US13073","Columbia County, Georgia","58653","80","null","null",
"0500000US13075","Cook County, Georgia","7456","48","null","null",
"0500000US13077","Coweta County, Georgia","55601","87","null","null",
"0500000US13079","Crawford County, Georgia","5379","66","null","null",
"0500000US13081","Crisp County, Georgia","10810","61","null","null",
"0500000US13083","Dade County, Georgia","7316","124","null","null",
"0500000US13085","Dawson County, Georgia","11807","36","null","null",
"0500000US13087","Decatur County, Georgia","12218","75","null","null",
"0500000US13089","DeKalb County, Georgia","314430","350","null","null",
"0500000US13091","Dodge County, Georgia","9865","292","null","null",
"0500000US13093","Dooly County, Georgia","6226","198","null","null",
"0500000US13095","Dougherty County, Georgia","40572","394","null","null",
"0500000US13097","Douglas County, Georgia","53038","110","null","null",
"0500000US13099","Early County, Georgia","4979","38","null","null",
"0500000US13101","Echols County, Georgia","1790","174","null","null",
"0500000US13103","Effingham County, Georgia","23462","68","null","null",
"0500000US13105","Elbert County, Georgia","9648","45","null","null",
"0500000US13107","Emanuel County, Georgia","9932","73","null","null",
"0500000US13109","Evans County, Georgia","4751","55","null","null",
"0500000US13111","Fannin County, Georgia","17481","51","null","null",
"0500000US13113","Fayette County, Georgia","43000","83","null","null",
"0500000US13115","Floyd County, Georgia","40713","158","null","null",
"0500000US13117","Forsyth County, Georgia","83965","85","null","null",
"0500000US13119","Franklin County, Georgia","10738","70","null","null",
"0500000US13121","Fulton County, Georgia","479696","614","null","null",
"0500000US13123","Gilmer County, Georgia","17289","53","null","null",
"0500000US13125","Glascock County, Georgia","1533","36","null","null",
"0500000US13127","Glynn County, Georgia","43486","164","null","null",
"0500000US13129","Gordon County, Georgia","22730","66","null","null",
"0500000US13131","Grady County, Georgia","10901","50","null","null",
"0500000US13133","Greene County, Georgia","10094","36","null","null",
"0500000US13135","Gwinnett County, Georgia","312887","263","null","null",
"0500000US13137","Habersham County, Georgia","18578","168","null","null",
"0500000US13139","Hall County, Georgia","74544","76","null","null",
"0500000US13141","Hancock County, Georgia","5418","370","null","null",
"0500000US13143","Haralson County, Georgia","12513","35","null","null",
"0500000US13145","Harris County, Georgia","14336","76","null","null",
"0500000US13147","Hart County, Georgia","13237","84","null","null",
"0500000US13149","Heard County, Georgia","5231","35","null","null",
"0500000US13151","Henry County, Georgia","82938","73","null","null",
"0500000US13153","Houston County, Georgia","63867","127","null","null",
"0500000US13155","Irwin County, Georgia","4086","28","null","null",
"0500000US13157","Jackson County, Georgia","26093","95","null","null",
"0500000US13159","Jasper County, Georgia","6497","41","null","null",
"0500000US13161","Jeff Davis County, Georgia","6533","30","null","null",
"0500000US13163","Jefferson County, Georgia","7266","75","null","null",
"0500000US13165","Jenkins County, Georgia","4567","378","null","null",
"0500000US13167","Johnson County, Georgia","4127","287","null","null",
"0500000US13169","Jones County, Georgia","11910","47","null","null",
"0500000US13171","Lamar County, Georgia","7624","108","null","null",
"0500000US13173","Lanier County, Georgia","4440","41","null","null",
"0500000US13175","Laurens County, Georgia","21602","100","null","null",
"0500000US13177","Lee County, Georgia","11346","75","null","null",
